student_id,name,program,semester,attendance,study_hours,assignment_score,internal_marks,previous_score,backlogs,participation,final_score,risk_level
36,Student_036,AI,3,79.4,0.8,88.6,59.4,95.3,0,6.2,88.0,Low
37,Student_037,AIML,3,81.1,2.6,69.3,61.1,62.9,0,8.2,85.8,Low
38,Student_038,AI,2,94.0,4.0,79.6,59.2,80.5,0,8.0,96.5,Low
39,Student_039,ECE,2,77.8,3.7,88.6,59.7,76.6,1,6.1,92.0,Low
40,Student_040,AIML,4,73.2,2.9,75.4,68.2,81.2,1,7.9,82.1,Low
41,Student_041,AIML,2,81.6,3.3,73.3,76.3,60.2,0,10.0,95.4,Low
42,Student_042,ECE,2,64.8,4.6,80.7,58.2,69.9,0,8.5,85.9,Low
43,Student_043,CSE,3,68.9,3.1,77.4,60.1,60.1,0,7.0,76.9,Low
44,Student_044,AIML,4,80.2,4.3,83.3,84.2,64.3,2,5.1,83.0,Low
45,Student_045,ECE,2,81.4,5.6,83.1,65.8,69.8,0,4.5,87.8,Low
46,Student_046,CSE,4,77.5,5.3,82.0,74.9,71.1,0,7.9,93.8,Low
47,Student_047,AI,1,80.5,3.5,73.3,57.2,70.3,1,7.5,78.3,Low
48,Student_048,AI,2,98.5,5.2,95.6,66.4,81.7,1,4.8,93.3,Low
49,Student_049,CSE,4,54.6,2.8,62.1,70.1,74.1,0,10.0,84.0,Low
50,Student_050,AI,4,88.7,4.5,91.2,77.8,68.4,1,8.9,93.3,Low
51,Student_051,AIML,4,59.2,5.4,70.5,85.3,50.9,0,5.3,86.0,Low
52,Student_052,ECE,1,81.3,5.6,76.1,63.6,50.8,0,6.7,89.7,Low
53,Student_053,AI,3,85.8,1.9,52.1,85.9,74.0,0,5.0,82.8,Low
54,Student_054,ECE,1,95.1,3.7,87.0,82.4,72.0,0,7.8,98.0,Low
55,Student_055,ECE,4,67.4,4.5,85.8,43.4,55.8,2,2.4,67.3,Medium
56,Student_056,CSE,4,54.1,2.8,89.3,81.7,74.0,2,3.1,74.8,Low
57,Student_057,AI,3,82.2,3.5,45.1,66.8,54.3,0,7.8,71.9,Low
58,Student_058,CSE,1,83.4,4.5,68.2,96.8,66.2,0,5.4,90.1,Low
59,Student_059,ECE,2,76.8,2.1,64.8,51.2,93.6,0,6.6,83.0,Low
60,Student_060,CSE,3,91.3,4.7,63.9,57.7,77.0,0,5.9,76.4,Low
61,Student_061,CSE,1,61.3,5.4,93.4,64.5,76.9,0,7.1,88.0,Low
62,Student_062,ECE,4,78.9,5.6,40.1,56.7,59.1,0,5.2,71.8,Low
63,Student_063,AI,1,96.6,4.7,71.9,88.7,70.9,0,4.8,94.3,Low
64,Student_064,ECE,3,95.4,3.0,63.3,87.5,54.3,0,3.7,86.7,Low
65,Student_065,CSE,1,70.8,2.8,64.3,55.9,70.6,0,4.8,76.9,Low
66,Student_066,CSE,1,77.1,3.8,75.6,57.9,63.6,1,6.7,82.5,Low
67,Student_067,AI,4,59.6,4.3,63.4,76.0,60.8,0,2.9,75.0,Low
68,Student_068,AI,2,74.6,1.4,82.4,52.1,73.2,0,5.2,75.9,Low
69,Student_069,CSE,4,68.5,3.0,85.1,59.9,80.0,1,4.2,74.7,Low
70,Student_070,CSE,3,100.0,1.0,58.6,70.4,71.1,0,6.7,80.4,Low
71,Student_071,AIML,2,90.8,3.9,76.4,62.2,64.1,0,5.6,88.7,Low
72,Student_072,CSE,3,89.4,0.5,76.7,64.2,81.4,1,2.4,68.6,Medium
73,Student_073,AIML,3,57.4,3.0,72.2,91.5,73.9,0,6.1,90.5,Low
74,Student_074,AIML,4,79.1,2.3,75.7,70.3,76.8,0,7.2,83.6,Low
75,Student_075,AI,2,85.0,6.7,74.4,71.5,64.5,0,4.8,98.0,Low
76,Student_076,CSE,1,82.4,3.0,82.8,86.0,64.7,0,8.0,87.7,Low
77,Student_077,ECE,1,87.6,5.4,77.4,94.3,60.7,0,4.0,96.7,Low
78,Student_078,CSE,2,87.2,2.3,41.8,70.5,100.0,0,6.7,88.7,Low
79,Student_079,AI,1,83.3,3.8,61.7,74.6,92.6,0,9.2,96.0,Low
80,Student_080,AI,2,79.1,3.4,82.2,100.0,76.3,0,6.2,94.9,Low
81,Student_081,AI,1,66.9,1.2,82.7,69.0,54.5,1,3.9,60.9,Medium
82,Student_082,ECE,1,75.1,1.9,70.1,67.9,54.2,0,6.0,78.8,Low
83,Student_083,CSE,3,98.3,5.1,68.5,52.5,100.0,0,6.6,92.5,Low
84,Student_084,AIML,2,85.4,3.3,74.0,100.0,56.7,0,6.0,98.0,Low
85,Student_085,CSE,4,48.8,5.0,88.2,39.0,65.9,1,5.8,72.3,Low
86,Student_086,CSE,4,83.8,4.7,54.8,62.9,69.2,0,8.4,92.7,Low
87,Student_087,AIML,2,85.9,1.9,65.2,74.9,55.3,0,7.9,84.9,Low
88,Student_088,AI,1,67.7,3.8,75.3,91.0,57.9,0,7.7,87.6,Low
89,Student_089,AIML,3,81.6,1.7,84.0,65.4,63.7,0,8.6,90.3,Low
90,Student_090,AIML,4,58.7,4.6,53.6,85.5,44.0,0,6.9,78.2,Low
91,Student_091,AIML,1,72.0,4.1,71.5,83.4,71.4,0,6.8,98.0,Low
92,Student_092,AI,1,85.4,2.6,66.6,50.0,71.2,0,6.9,74.1,Low
93,Student_093,AIML,3,82.5,1.1,85.4,74.6,73.1,0,8.5,82.0,Low
94,Student_094,AI,2,83.6,3.3,82.5,73.4,41.6,0,7.5,80.2,Low
95,Student_095,CSE,2,80.1,2.4,64.1,48.3,58.9,1,3.8,69.0,Medium
96,Student_096,AIML,2,58.7,6.4,68.0,69.3,72.1,0,5.3,88.4,Low
97,Student_097,AIML,2,100.0,3.4,86.9,58.2,69.6,1,10.0,82.4,Low
98,Student_098,ECE,4,73.6,4.2,78.9,52.8,81.2,0,5.0,83.4,Low
99,Student_099,CSE,1,77.2,4.4,74.3,49.3,74.6,1,7.7,87.9,Low
100,Student_100,AIML,1,89.7,2.9,80.2,46.6,69.3,3,7.4,72.4,Low
101,Student_101,AI,1,81.0,1.7,57.9,82.7,69.5,1,7.9,76.9,Low
102,Student_102,AI,2,87.8,1.5,78.5,53.4,85.3,1,6.1,76.5,Low
103,Student_103,CSE,4,93.9,3.8,85.4,47.2,73.2,0,8.3,93.0,Low
104,Student_104,AIML,4,78.5,5.2,63.1,60.9,40.2,1,5.6,81.5,Low
105,Student_105,CSE,4,95.4,2.8,66.5,64.1,53.9,0,4.7,69.1,Medium
106,Student_106,AI,2,64.7,2.0,80.9,65.7,60.1,2,6.4,72.6,Low
107,Student_107,AIML,1,65.7,4.0,74.2,74.9,73.5,0,10.0,88.3,Low
108,Student_108,AIML,3,71.4,4.3,63.9,61.1,68.0,2,9.3,74.4,Low
109,Student_109,AIML,3,68.8,4.2,64.8,76.9,72.4,0,3.5,78.8,Low
110,Student_110,AIML,4,79.8,3.0,79.6,75.6,83.0,0,6.1,86.6,Low
111,Student_111,CSE,2,62.8,2.5,71.6,93.1,63.8,1,6.9,63.4,Medium
112,Student_112,ECE,2,68.4,5.2,76.5,86.5,56.4,0,7.7,89.9,Low
113,Student_113,AI,1,84.5,5.1,82.7,75.1,82.8,0,8.8,97.5,Low
114,Student_114,ECE,1,83.3,3.0,61.2,58.3,75.9,1,6.6,83.9,Low
115,Student_115,AI,4,80.1,3.6,54.3,78.4,77.7,1,10.0,87.9,Low
116,Student_116,CSE,1,73.6,4.3,72.6,84.9,52.7,2,5.6,79.2,Low
117,Student_117,AI,2,89.8,2.1,73.7,58.2,84.3,0,3.5,83.3,Low
118,Student_118,AI,1,72.2,3.3,45.5,78.2,83.0,0,3.6,69.2,Medium
119,Student_119,CSE,4,82.8,2.8,58.7,77.9,72.9,1,5.4,78.5,Low
120,Student_120,AI,2,65.4,3.3,80.2,50.8,89.9,0,6.4,85.0,Low
121,Student_121,AI,1,75.3,4.0,55.7,88.2,69.0,2,8.7,83.8,Low
122,Student_122,AIML,3,75.5,4.5,81.4,74.4,77.3,1,6.9,93.1,Low
123,Student_123,ECE,2,77.0,5.5,63.2,93.2,69.5,0,3.6,84.2,Low
124,Student_124,ECE,2,84.2,2.6,84.9,64.1,69.7,0,5.6,72.6,Low
125,Student_125,ECE,4,60.6,4.6,82.2,74.0,58.4,0,6.4,97.2,Low
126,Student_126,CSE,3,77.8,4.2,95.2,55.7,70.5,0,4.5,85.4,Low
127,Student_127,AIML,3,97.8,4.4,64.6,76.0,86.8,0,8.3,98.0,Low
128,Student_128,AI,1,81.9,4.1,80.9,59.9,83.1,1,9.1,90.5,Low
129,Student_129,AIML,1,100.0,2.5,94.6,70.8,62.2,2,5.5,77.3,Low
130,Student_130,AI,2,72.2,4.4,86.7,100.0,68.8,1,6.6,94.7,Low
131,Student_131,ECE,2,84.7,2.1,68.7,44.6,74.8,1,7.8,65.0,Medium
132,Student_132,ECE,1,68.1,1.3,98.0,66.5,91.4,2,6.2,83.7,Low
133,Student_133,CSE,3,85.2,1.3,91.2,87.3,62.5,1,7.3,86.8,Low
134,Student_134,ECE,2,74.8,1.2,71.3,65.8,82.7,0,8.8,74.1,Low
135,Student_135,AIML,3,74.0,1.9,55.2,84.3,64.4,2,7.2,64.6,Medium
136,Student_136,AI,3,75.0,0.6,75.3,64.4,84.8,0,9.5,87.1,Low
137,Student_137,AI,2,74.2,3.0,67.8,97.1,74.6,0,7.4,90.4,Low
138,Student_138,ECE,1,82.2,3.0,64.8,68.7,61.7,2,8.0,75.0,Low
139,Student_139,AI,2,78.9,0.7,83.9,72.9,82.0,0,1.0,73.9,Low
140,Student_140,ECE,3,82.4,2.2,80.4,71.9,62.2,0,6.1,84.1,Low
141,Student_141,CSE,3,87.6,4.2,74.0,73.1,98.8,1,6.4,91.7,Low
142,Student_142,CSE,3,78.7,3.8,77.8,52.9,78.0,1,9.8,79.2,Low
143,Student_143,AIML,3,81.3,2.4,71.2,72.6,73.9,0,7.3,88.6,Low
144,Student_144,AI,1,81.9,1.1,59.9,82.7,76.8,1,5.9,84.7,Low
145,Student_145,AIML,3,76.3,3.7,69.8,68.2,56.8,0,3.6,74.1,Low
146,Student_146,AI,1,95.1,1.3,68.1,49.9,62.8,0,9.8,84.0,Low
147,Student_147,ECE,2,70.4,6.7,84.8,63.5,40.0,0,10.0,84.7,Low
148,Student_148,ECE,2,61.1,5.5,48.3,100.0,78.7,1,7.7,94.4,Low
149,Student_149,AIML,4,86.3,3.9,73.4,67.1,61.0,0,5.9,81.0,Low
150,Student_150,AI,1,67.2,4.9,64.0,41.2,74.8,0,4.5,81.2,Low
151,Student_151,AI,2,67.2,3.2,79.2,54.4,71.3,1,3.8,74.1,Low
152,Student_152,AI,3,67.7,5.5,71.0,59.9,70.8,1,6.7,85.3,Low
153,Student_153,CSE,4,78.5,3.6,62.9,58.7,53.2,1,10.0,75.5,Low
154,Student_154,CSE,1,86.3,4.5,62.9,79.2,63.3,0,5.2,89.2,Low
155,Student_155,ECE,3,68.8,6.5,56.6,72.3,77.6,0,7.3,98.0,Low
156,Student_156,AI,3,95.9,1.3,75.5,88.4,49.8,0,4.9,90.9,Low
157,Student_157,CSE,2,96.5,2.7,79.4,90.8,65.5,0,6.1,87.7,Low
158,Student_158,AI,3,70.2,2.7,69.4,57.4,70.4,1,7.0,66.7,Medium
159,Student_159,AIML,2,81.6,4.7,46.1,73.2,84.7,3,4.1,77.8,Low
160,Student_160,CSE,2,99.4,3.1,94.4,69.4,61.8,2,7.6,81.1,Low
161,Student_161,CSE,4,79.9,1.5,70.6,55.3,61.2,1,9.0,70.4,Low
162,Student_162,AI,2,62.5,3.6,82.1,69.1,84.7,1,6.9,83.1,Low
163,Student_163,ECE,4,79.5,3.3,81.2,81.4,60.6,0,3.8,85.7,Low
164,Student_164,CSE,3,85.8,2.3,51.2,98.2,56.4,0,6.5,88.0,Low
165,Student_165,CSE,1,78.9,3.4,83.9,63.9,73.2,1,7.1,81.6,Low
166,Student_166,AIML,1,75.4,1.8,67.4,53.5,85.8,3,8.7,72.1,Low
167,Student_167,AIML,2,77.7,4.6,90.1,75.8,70.1,0,3.9,89.6,Low
168,Student_168,CSE,4,67.1,4.2,72.7,42.8,62.2,0,4.6,73.4,Low
169,Student_169,ECE,3,64.7,4.3,91.9,85.1,67.4,0,9.5,93.4,Low
170,Student_170,CSE,2,73.5,3.0,62.8,72.2,62.5,0,6.8,80.4,Low
171,Student_171,AI,2,82.8,5.2,84.3,47.2,39.4,0,8.4,82.0,Low
172,Student_172,AIML,3,88.9,2.8,56.8,84.9,66.2,1,5.3,67.8,Medium
173,Student_173,ECE,1,72.0,4.0,52.8,70.6,69.8,0,7.7,73.2,Low
174,Student_174,ECE,3,100.0,1.8,71.5,84.4,59.6,0,3.8,76.0,Low
175,Student_175,AIML,3,94.2,3.2,63.3,82.6,62.7,0,10.0,91.5,Low
176,Student_176,AI,1,88.1,5.5,87.8,71.9,79.6,0,6.6,96.0,Low
177,Student_177,ECE,2,83.1,2.6,98.2,69.9,65.6,0,6.9,85.2,Low
178,Student_178,ECE,1,92.3,2.1,54.7,77.5,83.9,0,8.9,92.7,Low
179,Student_179,AI,4,89.0,2.4,53.5,89.0,66.1,0,6.0,87.9,Low
180,Student_180,ECE,3,91.5,2.7,72.5,88.4,91.6,1,7.6,98.0,Low
181,Student_181,AIML,1,74.0,2.3,58.4,40.5,94.7,2,4.3,64.0,Medium
182,Student_182,AIML,2,74.4,3.8,69.9,49.2,81.0,1,6.2,79.5,Low
183,Student_183,ECE,1,75.3,5.8,78.4,78.3,78.0,0,8.8,98.0,Low
184,Student_184,AIML,1,78.3,3.4,70.9,79.4,76.9,0,9.0,92.1,Low
185,Student_185,CSE,3,81.4,5.9,75.1,100.0,76.8,1,3.0,97.5,Low
186,Student_186,AIML,1,87.9,2.6,78.2,64.5,69.8,0,6.1,80.5,Low
187,Student_187,ECE,3,71.6,4.3,93.7,73.5,55.6,0,7.4,91.2,Low
188,Student_188,AI,3,94.0,1.5,57.6,61.6,60.2,2,10.0,69.9,Medium
189,Student_189,ECE,4,80.5,4.8,53.6,43.3,51.7,1,9.0,74.1,Low
190,Student_190,ECE,4,68.8,6.6,68.2,69.8,61.7,0,10.0,98.0,Low
191,Student_191,ECE,2,89.3,4.3,82.1,60.3,60.2,0,6.5,93.3,Low
192,Student_192,CSE,4,70.9,4.8,80.9,29.2,79.6,0,5.1,70.1,Low
193,Student_193,AIML,2,77.1,3.3,91.7,76.8,57.7,1,10.0,86.5,Low
194,Student_194,ECE,4,80.9,5.1,68.0,84.8,46.8,0,5.5,81.6,Low
195,Student_195,AI,3,79.5,1.0,76.2,65.9,64.4,2,3.3,64.6,Medium
196,Student_196,ECE,2,82.4,3.2,90.1,52.4,69.4,0,6.4,93.8,Low
197,Student_197,AIML,3,96.3,2.9,64.2,74.6,58.0,1,7.1,83.1,Low
198,Student_198,AIML,4,79.3,2.1,60.4,73.0,67.3,0,8.3,77.7,Low
199,Student_199,AIML,2,94.4,3.1,71.7,57.5,40.9,0,8.3,81.0,Low
200,Student_200,AIML,2,79.0,4.5,73.3,66.5,62.8,0,8.1,81.7,Low
201,Student_201,AI,3,81.2,1.6,78.1,67.5,50.6,0,8.8,77.5,Low
202,Student_202,ECE,1,72.0,4.4,66.2,82.2,100.0,0,7.4,98.0,Low
203,Student_203,CSE,3,79.9,3.0,61.2,69.2,57.1,0,1.0,70.7,Low
204,Student_204,CSE,2,100.0,6.0,58.6,58.0,70.9,0,6.1,97.9,Low
205,Student_205,CSE,1,70.9,2.4,65.7,54.7,71.5,0,9.7,77.6,Low
206,Student_206,AI,2,83.6,3.9,71.6,67.1,61.2,2,6.1,93.1,Low
207,Student_207,AIML,1,81.3,2.4,66.5,84.1,71.4,0,3.6,85.0,Low
208,Student_208,AIML,4,93.1,5.2,79.0,78.7,67.7,0,7.5,93.8,Low
209,Student_209,CSE,4,70.9,4.9,67.6,62.3,58.5,0,7.3,79.6,Low
210,Student_210,AIML,4,80.2,3.8,75.1,75.3,70.1,0,4.4,88.8,Low
211,Student_211,CSE,2,75.9,4.9,87.4,100.0,77.0,0,7.2,98.0,Low
212,Student_212,AI,1,84.6,3.9,76.0,93.3,74.2,0,9.1,98.0,Low
213,Student_213,AIML,2,54.7,2.6,88.9,67.7,58.0,1,5.5,70.6,Low
214,Student_214,CSE,4,73.5,2.6,45.6,78.7,85.1,1,8.5,78.5,Low
215,Student_215,AI,2,82.4,3.5,60.3,72.5,55.9,1,8.9,78.0,Low
216,Student_216,AI,4,83.8,2.8,82.1,87.3,82.2,0,4.5,89.1,Low
217,Student_217,CSE,4,83.7,3.8,76.6,74.8,77.6,0,8.7,95.5,Low
218,Student_218,ECE,4,85.2,2.1,74.0,44.1,42.7,1,2.2,66.0,Medium
219,Student_219,AIML,4,72.1,3.4,76.3,70.7,78.5,0,5.6,87.2,Low
220,Student_220,CSE,4,81.5,4.7,65.2,77.2,65.4,0,7.2,98.0,Low
221,Student_221,AIML,3,75.5,3.0,71.7,63.8,79.6,0,3.3,86.0,Low
222,Student_222,CSE,3,68.5,4.1,83.7,80.6,72.6,0,6.3,90.2,Low
223,Student_223,AIML,2,78.8,5.1,59.9,71.3,81.7,2,7.5,87.7,Low
224,Student_224,ECE,4,100.0,1.0,63.1,88.6,65.8,0,6.2,89.9,Low
225,Student_225,AI,3,95.7,5.3,93.3,78.4,70.9,0,3.3,97.1,Low
226,Student_226,CSE,3,51.6,4.1,73.9,88.7,77.3,0,5.3,88.3,Low
227,Student_227,ECE,3,69.8,1.7,64.0,67.5,64.8,3,5.1,61.0,Medium
228,Student_228,AI,2,55.3,4.1,55.9,55.5,62.0,0,5.9,68.6,Medium
229,Student_229,CSE,2,81.5,5.4,47.6,69.6,68.1,0,7.8,82.8,Low
230,Student_230,AIML,2,81.0,3.6,43.9,67.7,82.9,1,5.1,70.1,Low
231,Student_231,CSE,1,58.2,1.3,75.5,75.1,51.0,1,8.3,71.6,Low
232,Student_232,AIML,4,71.2,2.5,76.5,56.3,43.5,0,6.1,66.9,Medium
233,Student_233,ECE,4,76.6,3.6,69.1,58.9,72.0,1,7.4,85.5,Low
234,Student_234,AIML,1,58.9,3.8,81.9,73.3,77.6,0,4.2,85.2,Low
235,Student_235,CSE,4,77.6,3.2,70.3,41.7,63.4,0,6.7,65.6,Medium
236,Student_236,AIML,1,86.1,4.7,88.7,74.6,80.1,0,4.1,98.0,Low
237,Student_237,AIML,4,89.0,2.6,90.1,64.5,73.5,2,7.0,72.6,Low
238,Student_238,AI,3,70.4,0.9,87.2,90.2,79.4,1,4.3,79.6,Low
239,Student_239,ECE,4,65.8,3.2,68.0,78.9,85.7,0,9.3,89.7,Low
240,Student_240,AIML,2,70.1,5.1,56.6,45.2,85.3,0,6.4,83.2,Low
241,Student_241,AIML,2,69.1,4.1,65.8,67.8,76.6,0,6.5,79.5,Low
242,Student_242,ECE,4,74.0,1.0,67.4,66.7,72.7,2,8.8,73.3,Low
243,Student_243,AIML,1,76.8,4.1,51.6,52.2,55.7,0,6.8,82.6,Low
244,Student_244,AIML,3,80.8,3.2,88.0,53.1,59.5,0,6.2,79.1,Low
245,Student_245,AIML,2,56.2,4.5,58.1,71.3,94.9,0,4.7,86.5,Low
246,Student_246,AIML,2,87.9,6.2,86.7,61.7,54.7,0,10.0,89.2,Low
247,Student_247,AI,4,80.8,4.2,86.1,69.4,73.7,0,5.7,87.7,Low
248,Student_248,AI,1,87.6,3.3,56.8,67.8,74.7,1,3.0,83.1,Low
249,Student_249,AIML,2,68.0,2.6,64.3,87.2,44.4,0,10.0,87.5,Low
250,Student_250,AIML,2,74.3,4.1,91.4,84.3,67.5,2,7.7,73.0,Low
251,Student_251,AI,3,85.2,3.8,71.8,62.6,83.5,1,8.4,85.4,Low
252,Student_252,AIML,3,69.8,5.1,65.1,55.5,61.8,2,8.4,78.0,Low
253,Student_253,CSE,4,86.0,4.2,63.7,74.0,79.6,1,8.0,91.8,Low
254,Student_254,ECE,3,82.9,2.4,74.8,56.5,69.7,0,5.1,78.4,Low
255,Student_255,AIML,3,69.3,3.1,47.4,71.0,70.0,1,4.9,70.9,Low
256,Student_256,AIML,3,78.9,3.3,62.8,54.0,60.8,0,8.2,77.5,Low
257,Student_257,AI,4,75.1,0.7,80.3,50.7,70.7,0,7.1,70.3,Low
258,Student_258,AI,1,81.7,3.5,85.0,98.6,54.5,1,6.9,87.6,Low
259,Student_259,ECE,2,86.9,2.1,78.2,75.1,82.7,0,10.0,89.7,Low
260,Student_260,AI,1,87.8,0.9,71.6,72.7,58.6,0,4.9,82.3,Low
261,Student_261,AI,2,78.0,3.5,67.7,70.2,79.9,0,4.8,83.8,Low
262,Student_262,CSE,1,69.4,4.5,65.7,82.4,62.0,2,8.2,80.2,Low
263,Student_263,CSE,2,82.3,3.4,75.4,59.8,40.7,1,6.2,75.7,Low
264,Student_264,CSE,4,69.0,3.8,72.9,53.2,82.7,0,7.7,90.5,Low
265,Student_265,AI,2,76.5,2.9,72.0,76.4,52.7,0,1.9,69.0,Medium
266,Student_266,AIML,3,62.4,5.2,67.8,62.4,75.8,1,8.6,83.6,Low
267,Student_267,ECE,2,85.4,2.0,51.8,79.5,74.5,1,4.7,81.9,Low
268,Student_268,AI,2,62.9,5.7,62.1,70.7,68.2,0,5.4,84.0,Low
269,Student_269,ECE,1,78.5,2.1,81.6,60.8,67.3,0,4.5,82.5,Low
270,Student_270,AI,3,51.5,3.4,72.2,75.5,69.5,0,4.1,83.9,Low
271,Student_271,AIML,4,85.9,4.5,77.7,68.3,78.1,0,7.7,98.0,Low
272,Student_272,CSE,1,69.8,0.5,75.3,81.8,53.8,3,6.8,65.7,Medium
273,Student_273,CSE,1,75.5,5.6,51.2,56.4,68.8,1,3.2,71.5,Low
274,Student_274,ECE,1,77.5,4.3,72.7,65.1,62.2,0,5.7,82.2,Low
275,Student_275,AI,3,92.1,4.3,57.6,71.5,76.0,0,8.8,86.2,Low
276,Student_276,AIML,3,87.3,4.4,68.9,64.3,48.0,2,5.9,75.2,Low
277,Student_277,AI,3,68.8,6.4,51.1,70.6,94.3,0,6.5,97.4,Low
278,Student_278,AI,4,71.2,6.6,47.4,60.1,69.0,0,3.7,79.9,Low
279,Student_279,AIML,1,73.3,4.3,51.2,74.5,94.3,0,3.8,87.2,Low
280,Student_280,AIML,3,78.5,4.3,64.4,68.4,76.9,3,5.2,77.1,Low
281,Student_281,AIML,2,97.8,3.2,81.4,49.9,58.5,0,7.4,84.2,Low
282,Student_282,AIML,2,95.2,4.4,69.3,76.8,54.8,0,8.3,89.1,Low
283,Student_283,ECE,4,72.8,3.9,66.3,67.1,95.2,0,6.0,85.2,Low
284,Student_284,AIML,4,60.8,1.6,51.2,71.5,71.8,2,2.8,66.2,Medium
285,Student_285,ECE,3,70.5,4.6,46.4,80.5,55.5,0,8.0,74.8,Low
286,Student_286,CSE,1,78.4,3.8,69.5,46.4,93.8,0,9.7,89.5,Low
287,Student_287,ECE,4,68.1,1.6,69.5,80.9,68.5,0,9.5,85.7,Low
288,Student_288,CSE,4,63.4,2.7,58.7,62.9,75.3,0,1.3,72.0,Low
289,Student_289,AIML,3,82.8,4.1,88.1,53.0,78.2,0,8.9,92.4,Low
290,Student_290,AI,4,89.6,2.7,50.3,77.7,39.3,0,4.3,68.1,Medium
291,Student_291,ECE,2,85.5,1.9,80.7,74.5,49.3,0,5.1,83.8,Low
292,Student_292,AIML,2,84.4,2.9,57.2,88.4,49.4,1,6.7,74.4,Low
293,Student_293,ECE,3,68.9,4.2,77.4,87.6,77.8,0,3.5,95.1,Low
294,Student_294,ECE,3,86.8,3.5,59.6,35.7,71.9,2,7.6,74.2,Low
295,Student_295,ECE,1,74.5,6.0,75.0,75.0,78.0,0,7.3,94.1,Low
296,Student_296,CSE,1,83.9,1.7,56.1,82.8,81.3,0,6.5,87.9,Low
297,Student_297,CSE,4,66.0,3.0,81.0,79.9,66.5,1,6.4,81.0,Low
298,Student_298,AIML,2,83.0,4.6,59.0,70.7,85.8,2,6.5,80.0,Low
299,Student_299,AIML,4,85.7,4.1,78.4,60.6,44.2,0,8.7,78.5,Low
300,Student_300,AIML,1,66.9,4.0,82.5,58.9,79.3,1,8.9,86.4,Low
301,Student_301,AI,3,73.9,3.7,48.9,73.7,57.6,1,3.8,77.6,Low
302,Student_302,CSE,4,68.4,2.5,70.0,58.1,81.2,0,4.3,83.6,Low
303,Student_303,CSE,3,76.3,2.7,74.1,75.0,83.4,0,9.4,98.0,Low
